Depth,Signal
1.7298,0.19875
1.9802,0.19963
2.23,0.20111
4.23,0.20847
6.23,0.21572
8.23,0.22431
10.23,0.23348
12.23,0.24367
14.23,0.25569
16.23,0.2715
18.23,0.29013
20.23,0.31444
22.23,0.34838
24.23,0.40265
24.73,0.42218
25.2302,0.44501
25.7298,0.4725
25.9298,0.4847
26.1298,0.49828
26.3298,0.51266
26.5298,0.53079
26.7298,0.55075
27.2302,0.61142
27.7298,0.70162
28.23,0.8481
28.33,0.88856
28.4302,0.92581
28.5298,0.96133
28.63,0.98824
28.73,1.0
28.8302,0.98601
28.9298,0.94819
29.03,0.8764
29.13,0.77634
29.2302,0.65691
29.3298,0.53043
29.43,0.39978
29.53,0.28536
29.6302,0.19229
29.7298,0.12263
29.83,0.07183
29.93,0.03998
30.0302,0.02162
30.1298,0.01147
30.23,0.00619
30.33,0.00377
30.4302,0.00303
30.5298,0.00242
30.63,0.0022
30.73,0.00221
30.8302,0.00218
30.9298,0.00219
