zlower_cm,zupper_cm,dose,r.err,z_mm
0.0,0.01,0.1847426230791307,0.0033,0.05
0.01,0.02,0.18478175793785384,0.0034,0.15
0.02,0.03,0.18705157974379716,0.0049,0.25
0.03,0.04,0.18694722012053536,0.0041,0.35000000000000003
0.04,0.05,0.18719507422578205,0.0049,0.44999999999999996
0.05,0.06,0.1889952777270474,0.0051,0.55
0.06,0.07,0.18908659239740147,0.0051,0.65
0.07,0.08,0.18949098593754077,0.0059,0.7500000000000001
0.08,0.09,0.18860392913981583,0.0042,0.8499999999999999
0.09,0.1,0.18898223277413972,0.004,0.95
0.1,0.11,0.19014323358292679,0.0054,1.05
0.11,0.12,0.19045631245271208,0.0043,1.15
0.12,0.13,0.19082157113412823,0.0048,1.25
0.13,0.14,0.1900258290067573,0.0039,1.35
0.14,0.15,0.1904824023585275,0.0041,1.4500000000000002
0.15,0.16,0.19273917921156306,0.0061,1.55
0.16,0.17,0.19264786454120902,0.0046,1.6500000000000001
0.17,0.18,0.19229565081270059,0.0045,1.75
0.18,0.19,0.1930392131284406,0.0055,1.85
0.19,0.2,0.19202170680163844,0.0037,1.9500000000000002
0.2,0.21,0.19253045996503954,0.0048,2.0500000000000003
0.21,0.22,0.19319575256333327,0.0044,2.15
0.22,0.23,0.19327402228077958,0.0043,2.25
0.23,0.24,0.19443502308956664,0.0052,2.3499999999999996
0.24,0.25,0.19474810195935194,0.0047,2.45
0.25,0.26,0.1945263377599207,0.0041,2.55
0.26,0.27,0.1954394844634611,0.0046,2.6500000000000004
0.27,0.28,0.1960395522972162,0.0053,2.75
0.28,0.29,0.19662657517806362,0.0051,2.8500000000000005
0.29,0.3,0.19631349630827832,0.0053,2.9499999999999997
0.3,0.31,0.1954394844634611,0.0037,3.05
0.31,0.32,0.19609173210884712,0.0039,3.15
0.32,0.33,0.19714837329437243,0.0043,3.25
0.33,0.34,0.19806151999791283,0.0052,3.35
0.34,0.35,0.19793107046883562,0.0045,3.4499999999999997
0.35,0.36,0.1986354979258525,0.0044,3.55
0.36,0.37,0.1996790941584701,0.0047,3.65
0.37,0.38,0.200057397792794,0.0055,3.75
0.38,0.39,0.1995616895823006,0.0044,3.85
0.39,0.4,0.19990085835790133,0.0044,3.95
0.4,0.41,0.2021706801638446,0.0072,4.050000000000001
0.41,0.42,0.20055310600328735,0.0045,4.1499999999999995
0.42,0.43,0.20114012888413477,0.0048,4.25
0.43,0.44,0.2018967361527825,0.005,4.35
0.44,0.45,0.20291424247958464,0.0048,4.45
0.45,0.46,0.2027446580917843,0.0048,4.55
0.46,0.47,0.2033838607842626,0.0049,4.6499999999999995
0.47,0.48,0.20344908554880117,0.0046,4.75
0.48,0.49,0.20414046805291033,0.0057,4.85
0.49,0.5,0.20295337733830782,0.0038,4.95
0.5,0.51,0.2033838607842626,0.004,5.05
0.51,0.52,0.20453181664014194,0.0053,5.15
0.52,0.53,0.20488403036865038,0.0045,5.25
0.53,0.54,0.2063320201414073,0.0055,5.3500000000000005
0.54,0.55,0.2080409089723186,0.0062,5.45
0.55,0.56,0.20711471731587053,0.0045,5.550000000000001
0.56,0.57,0.20838007774791936,0.0053,5.6499999999999995
0.57,0.58,0.20720603198622453,0.0045,5.75
0.58,0.59,0.20811917868976496,0.0055,5.85
0.59,0.6,0.20806699887813404,0.0044,5.949999999999999
0.6,0.61,0.20882360614678183,0.0049,6.05
0.61,0.62,0.20851052727699654,0.0041,6.15
0.62,0.63,0.2094628088392601,0.0045,6.25
0.63,0.64,0.2097237078974145,0.0045,6.35
0.64,0.65,0.21088470870620157,0.0051,6.45
0.65,0.66,0.21139346186960267,0.0048,6.550000000000001
0.66,0.67,0.2107542591771244,0.0041,6.65
0.67,0.68,0.21264577734874376,0.0052,6.75
0.68,0.69,0.2117326306452034,0.0046,6.8500000000000005
0.69,0.7,0.21273709201909782,0.005,6.949999999999999
0.7,0.71,0.21319366537086804,0.0049,7.05
0.71,0.72,0.21359805891100733,0.005,7.1499999999999995
0.72,0.73,0.21336324975866838,0.0039,7.25
0.73,0.74,0.21380677815753085,0.0038,7.35
0.74,0.75,0.2140676772156853,0.0042,7.45
0.75,0.76,0.21542435231808815,0.0042,7.55
0.76,0.77,0.2150199587779488,0.0037,7.65
0.77,0.78,0.21803334289963214,0.0066,7.75
0.78,0.79,0.2168853870437528,0.0046,7.8500000000000005
0.79,0.8,0.21708106133736857,0.0047,7.95
0.8,0.81,0.21826815205197111,0.0047,8.05
0.81,0.82,0.21813770252289388,0.0043,8.149999999999999
0.82,0.83,0.21953351248401995,0.0062,8.25
0.83,0.84,0.21937697304912732,0.0046,8.35
